id,name,affiliation_as_published,roles,paper_count,paper_numbers,same_name_record_count,identity_review_required,source_urls,verification_levels,hilo_member,outreach_authorized,attendance_verified
person-deae37d937ff26b8800a,"Valada, Abhinav",University of Freiburg,paper_author,6,1196 | 2700 | 2962 | 2978 | 3095 | 3195,2,True,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-b748a9932d879a92c2e4,Abhinav Valada,"University of Freiburg, Germany",workshop_speaker,0,,2,True,https://physical-world-models.github.io/IROS2026/,workshop_primary,False,False,False
person-393fe67fb6567213a2e8,"Khanal, Abhish",George Mason University,paper_author,1,220,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-e8ec125ca027ef9fe6a2,"Gupta, Abhishek",University of Washington,paper_author,1,2858,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-b1a4430bd8f59d017160,"Kini, Abhishek",Purdue University Undergraduate Student Researcher,paper_author,1,5025,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-82fbae4c7698b5bf20a1,"Paudel, Abhishek",George Mason University,paper_author,1,220,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-e343f33c7de5415709ac,"Syamil, Abi Rahman",Korea Advanced Institute of Science and Technology,paper_author,1,4895,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-7226bfd3a613bc6b2c73,"Kalyanasundaram, Abinav",Technische Hochschule Ingolstadt,paper_author,1,950,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-04e5713647476335d558,"Chowdhury, Abir",Justus-Liebig-University Giessen,paper_author,1,2164,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-4c671d01fa8085c667bb,"Noureldin, Aboelmagd",Royal Military College,paper_author,1,5015,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-154f07265396e61269ca,Abrar Anwar,NVIDIA,workshop_organizer,0,,1,False,https://human-robot-dialogue.github.io/,workshop_primary,False,False,False
person-72f44d381dd0d6efd8e5,"Getachew, Absalat",Oakland University,paper_author,1,2870,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-6618d97b915803d0c766,"Syarubany, Abu Hanif Muhammad",Korea Advanced Institute of Science & Technology,paper_author,1,4500,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-f969ebb1c11ce5b9f3ef,"Siddiquee, Abu Nayem Md. Asraf",Graduate Teaching Assistant - University of Notre Dame,paper_author,1,4669,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-aef368290cb2c66af438,"Athukorala, Achala",Singapore University of Technology and Design,paper_author,1,16,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
